"name","male","female","total","common","male_weight","female_weight"
"GARRISON",8509,5,8514,TRUE,0.999412731970872,0.000587268029128494
"KAYLEN",1354,7150,8504,TRUE,0.159219190968956,0.840780809031044
"HARLEE",479,8023,8502,TRUE,0.0563396847800518,0.943660315219948
"LAKEN",2259,6240,8499,TRUE,0.265795975997176,0.734204024002824
"FRIDA",0,8491,8491,TRUE,0,1
"LEGACY",2709,5774,8483,TRUE,0.319344571495933,0.680655428504067
"STAN",8480,0,8480,TRUE,1,0
"CHANTAL",7,8469,8476,TRUE,0.000825861255309108,0.999174138744691
"JERROLD",8467,0,8467,TRUE,1,0
"MALAYA",0,8467,8467,TRUE,0,1
"ELIOT",7892,573,8465,TRUE,0.932309509746013,0.067690490253987
"RICHELLE",0,8456,8456,TRUE,0,1
"KENLEY",1161,7290,8451,TRUE,0.137380191693291,0.862619808306709
"JAGGER",8238,210,8448,TRUE,0.975142045454545,0.0248579545454545
"FRANCESCO",8446,0,8446,TRUE,1,0
"SYLVIE",0,8444,8444,TRUE,0,1
"YARITZA",5,8431,8436,TRUE,0.000592697961119014,0.999407302038881
"STAR",157,8275,8432,TRUE,0.0186195445920304,0.98138045540797
"XZAVIER",8424,0,8424,TRUE,1,0
"AJA",90,8314,8404,TRUE,0.0107091861018563,0.989290813898144
"ODIS",8229,171,8400,TRUE,0.979642857142857,0.0203571428571429
"FREDRIC",8395,0,8395,TRUE,1,0
"SHERIDAN",2768,5604,8372,TRUE,0.330625895843287,0.669374104156713
"ZEKE",8371,0,8371,TRUE,1,0
"DEVANTE",8307,57,8364,TRUE,0.993185078909613,0.00681492109038737
"HELLEN",0,8353,8353,TRUE,0,1
"DARLEEN",0,8332,8332,TRUE,0,1
"DREAM",556,7771,8327,TRUE,0.0667707457667828,0.933229254233217
"ELOY",8325,0,8325,TRUE,1,0
"MISTI",0,8324,8324,TRUE,0,1
"ELEANORA",0,8322,8322,TRUE,0,1
"JAMILA",0,8322,8322,TRUE,0,1
"AVERI",404,7909,8313,TRUE,0.0485985805365091,0.951401419463491
"DONAVAN",8300,5,8305,TRUE,0.999397953040337,0.000602046959662854
"DERECK",8296,0,8296,TRUE,1,0
"BRITTON",6337,1956,8293,TRUE,0.764138430001206,0.235861569998794
"CALE",8207,84,8291,TRUE,0.989868532143288,0.0101314678567121
"ARIAN",6712,1578,8290,TRUE,0.809650180940893,0.190349819059107
"CRISTY",80,8200,8280,TRUE,0.00966183574879227,0.990338164251208
"SHAKIRA",0,8276,8276,TRUE,0,1
"HENLEY",1547,6725,8272,TRUE,0.187016441005803,0.812983558994197
"SYDNEE",0,8255,8255,TRUE,0,1
"ARRON",8076,173,8249,TRUE,0.97902776094072,0.0209722390592799
"DEONTE",8198,41,8239,TRUE,0.995023667920864,0.00497633207913582
"EPHRAIM",8236,0,8236,TRUE,1,0
"OCEAN",4411,3822,8233,TRUE,0.535770678974857,0.464229321025143
"BRANSON",8226,5,8231,TRUE,0.999392540396064,0.000607459603936338
"STARLA",0,8231,8231,TRUE,0,1
"THAD",8219,5,8224,TRUE,0.999392023346304,0.000607976653696498
"ISIDRO",8211,0,8211,TRUE,1,0
"MILFORD",8198,13,8211,TRUE,0.998416758007551,0.00158324199244915
"AARAV",8209,0,8209,TRUE,1,0
"VESTA",27,8181,8208,TRUE,0.00328947368421053,0.99671052631579
"SARAHI",0,8204,8204,TRUE,0,1
"EFREN",8198,0,8198,TRUE,1,0
"KHALID",8197,0,8197,TRUE,1,0
"TENA",0,8186,8186,TRUE,0,1
"NEWTON",8177,5,8182,TRUE,0.999388902468834,0.000611097531165974
"BUSTER",8173,5,8178,TRUE,0.999388603570555,0.000611396429444852
"LAKESHA",6,8168,8174,TRUE,0.000734034744311231,0.999265965255689
"MARJORY",0,8172,8172,TRUE,0,1
"ELIEZER",8164,5,8169,TRUE,0.99938792997919,0.000612070020810381
"ANDRA",2592,5572,8164,TRUE,0.317491425771681,0.68250857422832
"KENYON",7977,187,8164,TRUE,0.977094561489466,0.0229054385105341
"ARLEN",7345,809,8154,TRUE,0.900784890851116,0.099215109148884
"FINNLEY",5658,2493,8151,TRUE,0.694147957305852,0.305852042694148
"ANDI",879,7266,8145,TRUE,0.107918968692449,0.892081031307551
"DARRICK",8130,11,8141,TRUE,0.998648814641936,0.00135118535806412
"NATHALY",0,8139,8139,TRUE,0,1
"INFANT",4230,3908,8138,TRUE,0.51978373064635,0.48021626935365
"MIKA",1362,6752,8114,TRUE,0.16785802316983,0.83214197683017
"KINSEY",295,7818,8113,TRUE,0.0363613952915075,0.963638604708492
"ARLETTE",0,8109,8109,TRUE,0,1
"UNA",0,8108,8108,TRUE,0,1
"AMI",422,7678,8100,TRUE,0.0520987654320988,0.947901234567901
"QUINTEN",8098,0,8098,TRUE,1,0
"MONSERRAT",26,8070,8096,TRUE,0.00321146245059289,0.996788537549407
"LYRA",0,8095,8095,TRUE,0,1
"MARQUES",8070,23,8093,TRUE,0.997158037810453,0.00284196218954652
"JAZLYNN",0,8090,8090,TRUE,0,1
"NICOLA",3012,5078,8090,TRUE,0.372311495673671,0.627688504326329
"SABINA",0,8082,8082,TRUE,0,1
"VERNICE",789,7290,8079,TRUE,0.097660601559599,0.902339398440401
"MIYA",0,8071,8071,TRUE,0,1
"BLAIRE",111,7959,8070,TRUE,0.0137546468401487,0.986245353159851
"VERDA",7,8062,8069,TRUE,0.000867517660180939,0.999132482339819
"WRENLEY",121,7948,8069,TRUE,0.0149956624116991,0.985004337588301
"IVANA",0,8042,8042,TRUE,0,1
"ANDERS",8026,5,8031,TRUE,0.99937741252646,0.000622587473540032
"ONA",92,7939,8031,TRUE,0.0114556095131366,0.988544390486863
"JACQULINE",0,8029,8029,TRUE,0,1
"CHARLA",0,8026,8026,TRUE,0,1
"GERI",5,8021,8026,TRUE,0.000622975330176925,0.999377024669823
"SHYLA",0,8026,8026,TRUE,0,1
"LORRI",0,8022,8022,TRUE,0,1
"KATERINA",0,8021,8021,TRUE,0,1
"RAYA",5,8003,8008,TRUE,0.000624375624375624,0.999375624375624
"JEMMA",0,8002,8002,TRUE,0,1
"CRISTOBAL",7990,11,8001,TRUE,0.998625171853518,0.00137482814648169
"SHANDA",0,7997,7997,TRUE,0,1
"KAYLEEN",0,7995,7995,TRUE,0,1
"MOSE",7935,55,7990,TRUE,0.993116395494368,0.00688360450563204
"AYA",0,7987,7987,TRUE,0,1
"RAYMON",7985,0,7985,TRUE,1,0
"DAQUAN",7970,6,7976,TRUE,0.999247743229689,0.000752256770310933
"DRAVEN",7715,253,7968,TRUE,0.968247991967871,0.0317520080321285
"BELVA",0,7960,7960,TRUE,0,1
"BERTRAM",7955,0,7955,TRUE,1,0
"KARLEY",0,7955,7955,TRUE,0,1
"NALANI",0,7954,7954,TRUE,0,1
"BRILEY",1332,6618,7950,TRUE,0.167547169811321,0.832452830188679
"JAEL",3387,4561,7948,TRUE,0.426144942123805,0.573855057876195
"LUCERO",218,7729,7947,TRUE,0.0274317352460048,0.972568264753995
"JOANA",0,7944,7944,TRUE,0,1
"MOIRA",0,7941,7941,TRUE,0,1
"ANSON",7932,5,7937,TRUE,0.999370039057578,0.00062996094242157
"ORVAL",7916,12,7928,TRUE,0.998486377396569,0.00151362260343088
"DORENE",0,7925,7925,TRUE,0,1
"RIDGE",7893,18,7911,TRUE,0.997724687144482,0.00227531285551763
"AILANI",6,7899,7905,TRUE,0.000759013282732448,0.999240986717268
"YEHUDA",7885,0,7885,TRUE,1,0
"JESSI",1321,6553,7874,TRUE,0.167767335534671,0.832232664465329
"ANNALEE",0,7871,7871,TRUE,0,1
"NELLY",79,7792,7871,TRUE,0.0100368441112946,0.989963155888705
"CAL",7858,10,7868,TRUE,0.998729028978139,0.0012709710218607
"KARMA",270,7593,7863,TRUE,0.0343380389164441,0.965661961083556
"DESTINI",0,7857,7857,TRUE,0,1
"AZARIA",224,7603,7827,TRUE,0.0286188833524978,0.971381116647502
"SHEPHERD",7785,30,7815,TRUE,0.99616122840691,0.00383877159309021
"MICHAL",3782,4031,7813,TRUE,0.48406501983873,0.51593498016127
"DARON",7652,160,7812,TRUE,0.979518689196109,0.0204813108038914
"RIO",5530,2282,7812,TRUE,0.707885304659498,0.292114695340502
"NAPOLEON",7805,5,7810,TRUE,0.999359795134443,0.000640204865556978
"KIA",196,7613,7809,TRUE,0.0250992444615188,0.974900755538481
"SEAMUS",7809,0,7809,TRUE,1,0
"ANTONETTE",0,7803,7803,TRUE,0,1
"KALYN",381,7412,7793,TRUE,0.0488900295136661,0.951109970486334
"BRAIDEN",7637,152,7789,TRUE,0.980485299781743,0.0195147002182565
"OTHA",6386,1403,7789,TRUE,0.819874181538066,0.180125818461933
"JACKY",6589,1198,7787,TRUE,0.846153846153846,0.153846153846154
"SUSANNAH",0,7784,7784,TRUE,0,1
"DANDRE",7741,37,7778,TRUE,0.995242993057341,0.00475700694265878
"ELIDA",0,7776,7776,TRUE,0,1
"DARION",7212,561,7773,TRUE,0.927827093786183,0.0721729062138171
"KALA",92,7680,7772,TRUE,0.0118373648996397,0.98816263510036
"BARBRA",0,7758,7758,TRUE,0,1
"ROYALTY",526,7225,7751,TRUE,0.0678622113275706,0.932137788672429
"LUCIE",0,7749,7749,TRUE,0,1
"MILENA",0,7749,7749,TRUE,0,1
"JAMIL",7481,254,7735,TRUE,0.967162249515191,0.0328377504848093
"NIXON",7389,339,7728,TRUE,0.956133540372671,0.0438664596273292
"STANFORD",7727,0,7727,TRUE,1,0
"LENNIE",2890,4835,7725,TRUE,0.37411003236246,0.62588996763754
"CATHRINE",0,7716,7716,TRUE,0,1
"ABDIEL",7715,0,7715,TRUE,1,0
"BERKLEY",2202,5510,7712,TRUE,0.285529045643154,0.714470954356846
"RIKKI",624,7088,7712,TRUE,0.0809128630705394,0.91908713692946
"ELVIA",31,7680,7711,TRUE,0.00402023083906108,0.995979769160939
"CLETUS",7437,272,7709,TRUE,0.964716565053833,0.0352834349461668
"KASHTON",7658,50,7708,TRUE,0.99351323300467,0.00648676699532953
"TOD",7707,0,7707,TRUE,1,0
"FLOR",92,7608,7700,TRUE,0.0119480519480519,0.988051948051948
"CINDI",0,7696,7696,TRUE,0,1
"JEANA",0,7694,7694,TRUE,0,1
"SHAE",1629,6065,7694,TRUE,0.211723420847414,0.788276579152586
"DESTINEY",0,7690,7690,TRUE,0,1
"DARRIUS",7689,0,7689,TRUE,1,0
"TYRON",7670,16,7686,TRUE,0.99791829300026,0.00208170699973979
"OLEN",7665,13,7678,TRUE,0.998306850742381,0.00169314925761917
"COLLETTE",0,7672,7672,TRUE,0,1
"ALYSE",0,7671,7671,TRUE,0,1
"DELMER",7654,16,7670,TRUE,0.997913950456323,0.00208604954367666
"GENARO",7669,0,7669,TRUE,1,0
"LANGSTON",7319,345,7664,TRUE,0.954984342379958,0.0450156576200418
"NOELIA",0,7655,7655,TRUE,0,1
"GINNY",0,7648,7648,TRUE,0,1
"JAMARION",7632,0,7632,TRUE,1,0
"ARIC",7626,5,7631,TRUE,0.999344777879701,0.000655222120298781
"CAIN",7628,0,7628,TRUE,1,0
"BRITT",4710,2916,7626,TRUE,0.617623918174666,0.382376081825334
"GIOVANI",7616,5,7621,TRUE,0.999343918120981,0.000656081879018502
"KALE",7379,226,7605,TRUE,0.970282708744247,0.0297172912557528
"KHADIJAH",7,7596,7603,TRUE,0.000920689201630935,0.999079310798369
"MARIEL",121,7482,7603,TRUE,0.0159147704853347,0.984085229514665
"ERYN",173,7415,7588,TRUE,0.0227991565629942,0.977200843437006
"MICHELL",588,6995,7583,TRUE,0.0775418699723065,0.922458130027694
"DWAIN",7581,0,7581,TRUE,1,0
"ALBA",108,7471,7579,TRUE,0.0142499010423539,0.985750098957646
"RICHIE",7144,431,7575,TRUE,0.943102310231023,0.0568976897689769
"KODA",6919,654,7573,TRUE,0.91364056516572,0.0863594348342797
"ZARIYAH",0,7569,7569,TRUE,0,1
"ANALIA",0,7568,7568,TRUE,0,1
"VIENNA",0,7565,7565,TRUE,0,1
"YARA",31,7534,7565,TRUE,0.00409781890284204,0.995902181097158
